               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.041797,            0.010277,                   0,             0.86189,             0.78301,             0.85591,             0.43033,            0.036888,           0.0055374,                   0,           0.0093083,           0.0093083,           0.0093083
                  59,            0.042141,            0.010403,                   0,             0.83067,              0.7953,             0.83964,             0.41588,            0.037727,           0.0057465,                   0,           0.0092846,           0.0092846,           0.0092846
                  60,            0.041969,            0.010185,                   0,             0.87099,             0.79822,             0.86632,             0.44117,            0.036293,           0.0054484,                   0,           0.0092605,           0.0092605,           0.0092605
                  61,            0.041815,            0.010275,                   0,             0.86722,             0.77947,             0.83923,             0.43211,            0.037184,           0.0057377,                   0,           0.0092361,           0.0092361,           0.0092361
                  62,            0.041763,            0.010401,                   0,             0.85395,             0.76995,             0.84251,             0.43687,            0.036952,           0.0056205,                   0,           0.0092113,           0.0092113,           0.0092113
                  63,            0.041504,            0.010305,                   0,             0.87366,             0.81097,             0.86697,             0.44051,            0.035937,           0.0053125,                   0,           0.0091861,           0.0091861,           0.0091861
                  64,             0.04147,            0.010376,                   0,              0.8585,             0.82896,             0.87524,             0.46181,            0.035385,           0.0054432,                   0,           0.0091606,           0.0091606,           0.0091606
                  65,            0.041643,            0.010231,                   0,             0.88252,             0.81168,             0.86572,             0.44932,            0.036058,           0.0054776,                   0,           0.0091348,           0.0091348,           0.0091348
                  66,            0.041388,            0.010235,                   0,             0.85946,             0.79882,             0.85509,              0.4414,            0.036102,           0.0055901,                   0,           0.0091086,           0.0091086,           0.0091086
                  67,            0.041176,            0.010466,                   0,             0.86268,             0.80505,             0.86277,             0.44937,            0.035804,            0.005507,                   0,           0.0090821,           0.0090821,           0.0090821
                  68,            0.040728,            0.010086,                   0,             0.87078,             0.83044,             0.86981,             0.45665,             0.03539,           0.0054517,                   0,           0.0090552,           0.0090552,           0.0090552
                  69,            0.041127,            0.010153,                   0,             0.84105,              0.8131,             0.86325,             0.45614,            0.035582,           0.0056306,                   0,            0.009028,            0.009028,            0.009028
